,timestamp,Terminal,Latency
0,01-10-2021 00:36,MY-StaySalty,384.57485
1,01-10-2021 00:55,MY-Abydos,49.141673
2,01-10-2021 01:09,Marjorie-c,438.901059
3,01-10-2021 01:27,MY-StaySalty,504.779906
4,01-10-2021 01:43,MY-Namaste,531.534196
5,01-10-2021 01:44,MY-Namaste,270.766791
6,01-10-2021 02:07,MY-StaySalty,337.021004
7,01-10-2021 02:29,MY-Alegria,923.8321890000001
8,01-10-2021 02:38,MY-Abydos,393.321152
9,01-10-2021 03:18,MY-StaySalty,513.243977
10,01-10-2021 03:23,MY-StaySalty,621.389746
11,01-10-2021 03:24,MY-Alegria,454.510787
12,01-10-2021 03:39,MY-StaySalty,337.17875699999996
13,01-10-2021 03:50,MY-FountainHead1,457.99172999999996
14,01-10-2021 03:51,MY-Alegria,431.69156799999996
15,01-10-2021 03:54,Marjorie-c,578.906994
16,01-10-2021 04:03,MY-FountainHead1,601.879251
17,01-10-2021 04:09,Marjorie-c,692.543865
18,01-10-2021 04:19,MY-Namaste,618.4948870000001
19,01-10-2021 04:28,MY-StaySalty,426.26934800000004
20,01-10-2021 04:28,MY-Namaste,535.4889059999999
21,01-10-2021 04:47,MY-Namaste,493.573523
22,01-10-2021 04:57,MY-Alegria,252.893956
23,01-10-2021 05:04,Marjorie-c,421.95297300000004
24,01-10-2021 05:28,MY-Namaste,398.877994
25,01-10-2021 05:30,MY-Alegria,853.7377349999999
26,01-10-2021 05:44,Marjorie-c,400.070271
27,01-10-2021 05:53,MY-Abydos,943.11554
28,01-10-2021 05:55,MY-FountainHead1,509.113628
29,01-10-2021 06:02,MY-Alegria,472.57684000000006
30,01-10-2021 06:04,MY-Alegria,551.479653
31,01-10-2021 06:14,MY-Alegria,621.135413
32,01-10-2021 06:18,MY-Alegria,382.536352
33,01-10-2021 06:43,MY-Abydos,466.286254
34,01-10-2021 07:13,MY-FountainHead1,378.000165
35,01-10-2021 07:14,Marjorie-c,356.642597
36,01-10-2021 07:19,MY-StaySalty,622.316554
37,01-10-2021 07:31,MY-Alegria,368.076408
38,01-10-2021 08:19,MY-Alegria,525.142147
39,01-10-2021 08:22,MY-Abydos,808.733289
40,01-10-2021 08:49,MY-Alegria,300.140919
41,01-10-2021 09:00,MY-FountainHead1,482.027953
42,01-10-2021 09:00,MY-Abydos,724.302004
43,01-10-2021 09:05,MY-FountainHead1,398.400851
44,01-10-2021 09:15,MY-Namaste,649.708235
45,01-10-2021 09:21,MY-Namaste,702.1247099999999
46,01-10-2021 09:55,Marjorie-c,832.52301
47,01-10-2021 10:01,MY-Abydos,663.211226
48,01-10-2021 10:01,MY-Namaste,-69.521062
49,01-10-2021 10:08,Marjorie-c,515.697627
50,01-10-2021 10:09,MY-Abydos,512.664504
51,01-10-2021 10:53,Marjorie-c,242.56695200000001
52,01-10-2021 11:10,MY-StaySalty,180.761618
53,01-10-2021 11:11,MY-FountainHead1,895.03455
54,01-10-2021 11:28,MY-Alegria,465.852411
55,01-10-2021 11:43,MY-Alegria,669.026296
56,01-10-2021 11:46,MY-Alegria,241.45686099999998
57,01-10-2021 11:52,Marjorie-c,571.554303
58,01-10-2021 11:53,MY-Alegria,587.92373
59,01-10-2021 12:16,MY-FountainHead1,515.3212030000001
60,01-10-2021 12:35,Marjorie-c,886.69978
61,01-10-2021 13:13,MY-StaySalty,716.399922
62,01-10-2021 13:27,Marjorie-c,373.063209
63,01-10-2021 13:33,Marjorie-c,663.186807
64,01-10-2021 14:21,MY-FountainHead1,748.358788
